Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,UNSD Geographical Grouping,Source Quality
North Africa,2-Sep-16,2016,Sep,2,NULL,2,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Shimaliya Province, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"19.402255200000, 27.905378900000",NULL,Northern Africa,2
US-Mexico Border,2-Sep-16,2016,Sep,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
US-Mexico Border,2-Sep-16,2016,Sep,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
US-Mexico Border,2-Sep-16,2016,Sep,1,NULL,1,NULL,NULL,1,NULL,Hit by vehicle,"Caborca, Sonora, Mexico",Nocitas Anotao,"30.722230900000, -112.176712400000",Central America to US,Central America,3
Mediterranean,2-Sep-16,2016,Sep,3,NULL,3,931,NULL,NULL,NULL,Unknown,Channel of Sicily ,Dire,"37.093073700000, 11.861018900000",Central Mediterranean,Uncategorized,1
North Africa,1-Sep-16,2016,Sep,1,NULL,1,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Unspecified location, Libya",MHub,"27.066317100000, 14.333614500000",NULL,Northern Africa,2
North Africa,1-Sep-16,2016,Sep,1,NULL,1,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Tripoli, Libya",MHub,"32.791230800000, 12.826516100000",NULL,Northern Africa,2
Mediterranean,1-Sep-16,2016,Sep,1,NULL,1,1050,NULL,1,NULL,Unknown,Unspecified location between North Africa and Italy,"UNHCR, Salerno Today","38.960724200000, 10.904485400000",Central Mediterranean,Uncategorized,4
North Africa,31-Aug-16,2016,Aug,7,NULL,7,NULL,NULL,NULL,NULL,Shot,"Sahara Desert, between Agadez, Niger and Subratah, Libya",MHub,"21.826210546278, 10.806275375000",NULL,Northern Africa,2
Mediterranean,31-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Unknown,Unspecified location between North Africa and Italy,UNHCR,"38.960724200000, 10.904485400000",Central Mediterranean,Uncategorized,4
North Africa,31-Aug-16,2016,Aug,5,NULL,5,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Subratah, Libya",MHub,"32.801881754208, 12.449522100000",NULL,Northern Africa,2
US-Mexico Border,31-Aug-16,2016,Aug,6,NULL,6,26,5,1,5,Vehicle Accident,"KM 167 of federal highway near Reynosa, Tamaulipas, Mexico",El Pais,"24.215586000000, -99.433269900000",Central America to US,Central America,3
Mediterranean,31-Aug-16,2016,Aug,3,NULL,3,NULL,NULL,NULL,NULL,Unknown,Unspecified location between North Africa and Italy,AFP,"38.960724200000, 10.904485400000",Central Mediterranean,Uncategorized,1
North Africa,31-Aug-16,2016,Aug,10,NULL,10,NULL,NULL,NULL,NULL,Unknown,"Unspecified location, Libya",MHub,"26.767515011566, 15.382627875000",NULL,Northern Africa,2
North Africa,30-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Desert, Shimaliya Province, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"19.402255200000, 27.905378900000",NULL,Northern Africa,2
US-Mexico Border,30-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
US-Mexico Border,29-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"Rio Grande south of Eagle Pass, Maverick County, Texas",La Rancherita del Aire,"28.637673500000, -100.528216300000",Central America to US,Northern America,1
Mediterranean,29-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,NULL,NULL,Unknown,Channel of Sicily,IOM Italy,"37.093073700000, 11.861018900000",Central Mediterranean,Uncategorized,4
Sub-Saharan Africa,29-Aug-16,2016,Aug,3,NULL,3,14,NULL,NULL,NULL,Vehicle Accident,"Mbala-Nakonde Road, Zambia","Mwebantu, IOM Zambia","-13.249505500000, 27.620817300000",NULL,Eastern Africa,4
Central America,28-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Fall from train,"Near San Juan del Rio, QuerÃ©taro, Mexico",Dario Rotativo,"20.412953600000, -100.004381400000",Central America to US,Central America,1
Central America,28-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,1,Fall from train,"Near Acultzingo, Veracruz, Mexico",Imagen del Golfo,"18.268156600000, -95.896946100000",Central America to US,Central America,1
US-Mexico Border,27-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Hyperthermia,Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
South America,27-Aug-16,2016,Aug,1,NULL,1,NULL,1,NULL,NULL,Pulmonary edema and renal insufficiency,"Darien Gap, between Colombia and Panama",Nocitas SF,"7.781119400000, -77.932556400000",Darien Gap,South America,1
Mediterranean,26-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"Body found on beach in La Mamola, Granada, Spain",Europa Press,"36.745269700000, -3.281736600000",Western Mediterranean,Uncategorized,1
US-Mexico Border,26-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"Rio Grande, ejido Balcones at Acuna, Coahuila, Mexico",Radio Zacolo,"27.133490800000, -103.434484000000",Central America to US,NULL,1
US-Mexico Border,26-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
US-Mexico Border,26-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"In a wash north of Tubac, Santa Cruz County, Arizona",Nogales International,"31.623801700000, -111.062767900000",Central America to US,NULL,1
Mediterranean,25-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Unknown,Unspecified location between North Africa and Italy. ,UNHCR,"38.960724200000, 10.904485400000",Central Mediterranean,Uncategorized,4
US-Mexico Border,24-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
Europe,24-Aug-16,2016,Aug,1,NULL,1,5,NULL,1,NULL,Shot,"Woods in Serbia, near border to Bulgaria",Reuters,"43.286878700000, 21.901946100000",Western Balkans,Southern Europe,1
Middle East,23-Aug-16,2016,Aug,1,NULL,1,NULL,1,NULL,NULL,Sickness and lack of access to medicines,"Syrian/Jordanian border near Daraa, Syria",Action Group for Palestinians of Syria,"32.576464500000, 36.049286500000",NULL,Western Asia,4
US-Mexico Border,23-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Unknown,"Cage Ranch, Maverick County, Texas, USA",Operation Identification - University of Texas,"28.516850091361, -100.310902750260",Central America to US,Northern America,5
Mediterranean,23-Aug-16,2016,Aug,NULL,7,7,NULL,NULL,7,NULL,Drowning,"Unspecifed location between Morocco and Tarifa, Spain",Olive Press,"35.932805800000, -5.646866100000",Western Mediterranean,Uncategorized,1
US-Mexico Border,23-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
US-Mexico Border,22-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"Rio Grande near Brownsville, Cameron County, Texas",Telemundo,"26.149066500000, -97.690653400000",Central America to US,Northern America,1
Europe,22-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Stabbed,"Near motorway towards Port of Calais, France",AP,"50.951880300000, 1.833936700000",Calais to United Kingdom,Northern Europe,1
North Africa,19-Jul-16,2016,Jul,1,NULL,1,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Segera, Tanzania",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-5.335319300000, 38.545615200000",NULL,Eastern Africa,2
Mediterranean,21-Aug-16,2016,Aug,1,2,3,12,1,NULL,NULL,Drowning,"Between Izmir, Turkey and Chios, Greece",UNHCR,"38.344648300000, 26.048123200000",Eastern Mediterranean,Uncategorized,4
US-Mexico Border,21-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
North Africa,21-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Dhobley, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"0.901464500000, 41.092337900000",NULL,Eastern Africa,2
Sub-Saharan Africa,21-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Lupila, Tanzania",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-9.586700700000, 34.375621000000",NULL,Eastern Africa,2
Sub-Saharan Africa,20-Aug-16,2016,Aug,3,NULL,3,NULL,NULL,NULL,NULL,Dehydration,"Mueda, Mozambique",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-11.662239600000, 39.550451800000",NULL,Eastern Africa,2
Sub-Saharan Africa,20-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,Tanzania border with Zambia,Mixed Migration Monitoring Mechanism Initiative (4Mi),"-12.287285800000, 27.743855700000",NULL,Eastern Africa,2
Central America,20-Aug-16,2016,Aug,1,NULL,1,NULL,1,NULL,NULL,"Pulmonary edema and renal insufficiency, Sickness and lack of access to medicines","Darien Gap, between Colombia and Panama",Diario de Cuba,"7.781119400000, -77.932556400000",Central America to US,Central America,1
South America,19-Aug-16,2016,Aug,1,NULL,1,NULL,1,NULL,NULL,Cardiac arrest,"Main train station, Pasto, Narino, Colombia",El Universal,"1.214007500000, -77.291107200000",NULL,South America,3
North Africa,19-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.285107000000, 31.520455700000",NULL,Northern Africa,2
North Africa,19-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Al Qadarif, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.031672200000, 35.341772300000",NULL,Northern Africa,2
North Africa,19-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"17.692227100000, 33.976249200000",NULL,Northern Africa,2
North Africa,18-Aug-16,2016,Aug,3,NULL,3,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Near to abu Hamad, Egypt in the desert",Mixed Migration Monitoring Mechanism Initiative (4Mi),"30.408045400000, 31.560531000000",NULL,Northern Africa,2
Mediterranean,18-Aug-16,2016,Aug,5,2,7,32,3,1,3,Unknown,"20 miles north of Sabratha, Libya",IOM Italy,"32.834477600000, 12.384084800000",Central Mediterranean,Uncategorized,4
North Africa,18-Aug-16,2016,Aug,8,NULL,8,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"In the desert near Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.459686000000, 30.665449400000",NULL,Northern Africa,2
Central America,17-Aug-16,2016,Aug,3,NULL,3,NULL,NULL,3,NULL,Vehicle Accident,"San Luis Potosi, Mexico",El Heraldo,"22.123504400000, -101.026109800000",Central America to US,Central America,1
North Africa,17-Aug-16,2016,Aug,7,NULL,7,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Berber, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"17.692227100000, 33.976249200000",NULL,Northern Africa,2
Horn of Africa,17-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Near Qardho, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"9.508089800000, 49.077054100000",NULL,Eastern Africa,2
Mediterranean,17-Aug-16,2016,Aug,NULL,1,1,1,NULL,1,NULL,Presumed drowning,"Within 150 meters of the coast of Punda Rodeo, Cadiz, Spain",Diario de Avisos,"36.527403700000, -6.334261800000",Western Mediterranean,Uncategorized,1
US-Mexico Border,16-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Dehydration,"Desert near Mclean, Gray County, Texas",IOM Honduras,"35.232549500000, -100.599855800000",Central America to US,Northern America,4
Mediterranean,15-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Beach near AlmuÃ±Ã©car, Granada, Spain",La Sexta TV,"36.725051000000, -3.737953800000",Western Mediterranean,Southern Europe,1
South America,15-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Hypothermia,"Rural area of Colombian border across from Urbina, Carchi, Ecuador",El Telegrafo,"0.644667300000, -77.975427000000",NULL,NULL,1
Mediterranean,15-Aug-16,2016,Aug,3,NULL,3,NULL,NULL,NULL,NULL,Presumed drowning,"Bodies washed ashore in Sabratha, Libya",Libyan Red Crescent Sabratha via IOM Libya,"32.857907700000, 12.377552000000",Central Mediterranean,Northern Africa,4
North Africa,15-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Desert near Abu Hamad, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"20.417288700000, 32.560868200000",NULL,Northern Africa,2
Mediterranean,15-Aug-16,2016,Aug,1,NULL,1,NULL,1,NULL,NULL,Presumed drowning,"Body washed ashore in Az-Zawiyah, Libya",Libyan Red Crescent Az-Zawiyah via IOM Libya,"32.795698200000, 12.708749300000",Central Mediterranean,Northern Africa,4
North Africa,15-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"In Al Hajer captive camp, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"17.149754800000, 34.732256100000",NULL,Northern Africa,2
North Africa,14-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Shemaliya, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"19.402255200000, 27.905378900000",NULL,Northern Africa,2
Horn of Africa,14-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Near Jigjiga, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"9.352104400000, 42.777371200000",NULL,Eastern Africa,2
North Africa,13-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"17.692227100000, 33.976249200000",NULL,Northern Africa,2
North Africa,13-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Al Qadarif, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"14.031672200000, 35.341772300000",NULL,Northern Africa,2
Central America,3-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,2,NULL,Murdered,"Tegucigulpa, Honduras",Radio Cadena Voces (via Facebook),"14.065556600000, -87.210592000000",Central America to US,Central America,1
US-Mexico Border,13-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed drowning,"RÃ­o Bravo, 300 meters from â€œLa Cruz del Immigrateâ€, Matamoros, Tamaulipas, Mexico",Hoy Tamaulipas,"24.215586000000, -99.433269900000",Central America to US,Central America,1
Central America,12-Aug-16,2016,Aug,1,NULL,1,NULL,1,NULL,NULL,Dehydration,"near highway at KM 118 in Hidalgo, Mexico",Noticiero de San Vincent via Facebook,"20.497240100000, -99.482699700000",Central America to US,Central America,1
Mediterranean,11-Aug-16,2016,Aug,NULL,9,9,NULL,NULL,NULL,NULL,Presumed drowning,"Unspecified location near Ceuta, Spain",AsociaciÃ³n Pro Derechos Humanos de AndalucÃ­a,"35.895384600000, -5.334817200000",Western Mediterranean,Uncategorized,3
North Africa,11-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Al Hajer, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"17.183783300000, 34.610394700000",NULL,Northern Africa,2
Central America,11-Aug-16,2016,Aug,6,NULL,6,NULL,1,NULL,1,Unknown,"Darien Gap, between Colombia and Panama",RCN Radio,"7.781119400000, -77.932556400000",Central America to US,Central America,1
Horn of Africa,11-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Near Sawa, Forto, Eritrea, at border with Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"15.919012100000, 35.950809500000",NULL,Northern Africa,2
North Africa,11-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Dehydration,"Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.285107000000, 31.520455700000",NULL,Northern Africa,2
US-Mexico Border,10-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Presumed hyperthermia,"Near Mission, Hidalgo County, Texas",Brownsville Herald,"26.376354000000, -98.383347700000",Central America to US,Northern America,1
US-Mexico Border,10-Aug-16,2016,Aug,1,NULL,1,1,NULL,NULL,NULL,Presumed hyperthermia,"Near Havana, Hidalgo County, Texas",Brownsville Herald,"26.376354000000, -98.383347700000",Central America to US,Northern America,1
US-Mexico Border,10-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Dehydration,"Carretera 2, km 118 near Hidalgo, Coahuila, Mexico",Notigram Durango,"27.785656700000, -99.880083200000",Central America to US,Central America,1
US-Mexico Border,9-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed hyperthermia,Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
US-Mexico Border,8-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
US-Mexico Border,8-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Drowning,"Rio Grande, near Reynosa, Tamaulipas, Mexico",Reynosa Codigo Rojo via Facebook,"24.215586000000, -99.433269900000",Central America to US,Central America,1
US-Mexico Border,8-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
Mediterranean,8-Aug-16,2016,Aug,1,NULL,1,182,NULL,NULL,NULL,Presumed drowning,"Body washed up to Az Zawiyah, Libya",Libyan Red Crescent Az Zawiyah via IOM Libya,"32.795698200000, 12.708749300000",Central Mediterranean,Uncategorized,4
US-Mexico Border,8-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Havana, Hidalgo County, Texas",Desaparecidos y sin reclamar en la frontera via Facebook,"26.376354000000, -98.383347700000",Central America to US,Northern America,4
US-Mexico Border,8-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed hyperthermia/dehydration,"Desert near Del Rio, Val Verde County, Texas",Canal Antigua,"29.789837100000, -101.502616500000",Central America to US,Northern America,1
US-Mexico Border,7-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Hyperthermia,Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
Central America,7-Aug-16,2016,Aug,1,NULL,1,NULL,1,NULL,NULL,Fall from train,"Train tracks near Nuevo Laredo, Tamaulipas, Mexico",Honduras Tierra Libre,"24.215586000000, -99.433269900000",Central America to US,Central America,3
US-Mexico Border,7-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Drowning,"Rio Grande near El 5 ranch, Maverick County, Texas",Radio Zocalo,"28.637673500000, -100.528216300000",Central America to US,Northern America,1
US-Mexico Border,6-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed hyperthermia/dehydration,"Desert near Nogales, Santa Cruz County, Arizona, US",Portal de Noticias Altavoz,"31.364308700000, -110.968139500000",Central America to US,Northern America,1
US-Mexico Border,6-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
US-Mexico Border,6-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
US-Mexico Border,6-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown (skeletal remains),Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
US-Mexico Border,4-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed hyperthermia,Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
North Africa,4-Aug-16,2016,Aug,3,NULL,3,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Abu Hamad, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"19.525259500000, 33.297328800000",NULL,Northern Africa,2
US-Mexico Border,4-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Dehydration,"""desert of Mexico""",El Pulmondelademocracia,"24.022718500000, -103.172343500000",Central America to US,NULL,1
North Africa,19-Aug-15,2015,Aug,5,NULL,5,NULL,NULL,NULL,NULL,Vehicle Accident,"Luxor, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.685913000000, 32.639282000000",NULL,Northern Africa,2
Central America,3-Aug-16,2016,Aug,2,NULL,2,NULL,NULL,2,NULL,Drowning,"Nicaragua Lake near the mouth of the Sapoa River, Cardenas, Nicaragua",Radio La Primerisima,"11.188704600000, -85.490875000000",Central America to US,Central America,1
Mediterranean,2-Aug-16,2016,Aug,21,NULL,21,NULL,NULL,NULL,NULL,Presumed drowning,"Bodies washed up in Al Mayah, Libya",Libyan Red Crescent Az Zawiyah via IOM Libya,"32.814694900000, 12.880910500000",Central Mediterranean,Uncategorized,4
Central America,1-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Corner of Calle Martin Carrera and Calle Manuel Cruz Villareal, Hidalgo, Monterrey, Mexico",Info 7,"25.706926400000, -100.326399600000",Central America to US,Central America,1
US-Mexico Border,1-Aug-16,2016,Aug,1,NULL,1,NULL,1,NULL,NULL,Presumed hyperthermia/dehydration,"US Highway 83 near La Grulla, Starr County, Texas",Brownsville Herald,"26.510162900000, -99.026246300000",Central America to US,Northern America,1
North Africa,1-Aug-16,2016,Aug,7,NULL,7,NULL,NULL,NULL,NULL,Vehicle Accident,"Sahara Desert, between Agadez, Niger and Benghazi, Libya",MHub,"27.349939100000, 9.736672900000",NULL,Northern Africa,2
Central America,1-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Unknown,"Hidalgo, Monterrey, Mexico",Info 7,"25.707528900000, -100.323337600000",Central America to US,Central America,1
North Africa,1-Aug-16,2016,Aug,5,NULL,5,NULL,NULL,NULL,NULL,Violence,"Unspecified location, Libya",MHub,"27.066317100000, 14.333614500000",NULL,Northern Africa,2
US-Mexico Border,1-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed hyperthermia,Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
North Africa,1-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Harsh conditions,"Unspecified location, Libya",MHub,"27.066317100000, 14.333614500000",NULL,Northern Africa,2
US-Mexico Border,1-Aug-16,2016,Aug,1,NULL,1,NULL,1,NULL,NULL,Presumed hyperthermia,Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
Central America,1-Aug-16,2016,Aug,8,NULL,8,NULL,1,7,NULL,Drowning,"Nicaragua Lake near the mouth of the Sapoa River, Cardenas, Nicaragua",La Prensa and NAM  News Network,"11.228555400000, -85.608110100000",Central America to US,Central America,3
North Africa,1-Aug-16,2016,Aug,3,NULL,3,NULL,NULL,NULL,NULL,Murdered,"Unspecified location, Libya",MHub,"27.066317100000, 14.333614500000",NULL,Northern Africa,2
North Africa,1-Aug-16,2016,Aug,6,NULL,6,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"In the desert near to Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.459686000000, 30.665449400000",NULL,Northern Africa,2
US-Mexico Border,1-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,1,NULL,Presumed hyperthermia/dehydration,"East of the Otay Lakes, San Diego County, California",Southern California Patch,"32.630888500000, -116.948898000000",Central America to US,Northern America,1
North Africa,1-Aug-16,2016,Aug,5,NULL,5,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Tripoli, Libya",MHub,"32.791230800000, 12.826516100000",NULL,Northern Africa,2
North Africa,1-Aug-16,2016,Aug,6,NULL,6,NULL,NULL,NULL,NULL,Sickness and lack of access to medicines,"Abu Hamad, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),"19.525259500000, 33.297328800000",NULL,Northern Africa,2
North Africa,1-Aug-16,2016,Aug,1,NULL,1,NULL,NULL,NULL,NULL,Murdered,"Unspecified location, Libya",MHub,"27.066317100000, 14.333614500000",NULL,Northern Africa,2
US-Mexico Border,31-Jul-16,2016,Jul,1,NULL,1,NULL,NULL,NULL,NULL,Unknown,Pima County (see spreadsheet for coordinates),Pima County Office of the Medical Examiner,"31.965203600000, -113.011894500000",Central America to US,Northern America,5
Mediterranean,31-Jul-16,2016,Jul,120,NULL,120,NULL,NULL,NULL,NULL,Presumed drowning,"bodies washed up to coast near Sabratha, Libya",UNHCR,"32.809482300000, 12.394473800000",Central Mediterranean,Uncategorized,4
North Africa,31-Jul-16,2016,Jul,10,NULL,10,NULL,NULL,NULL,NULL,Vehicle Accident,"Sahara Desert, between Agadez, Niger and Sabha, Libya",MHub,"23.690202271552, 12.410279281250",NULL,Northern Africa,2
Mediterranean,31-Jul-16,2016,Jul,4,NULL,4,10,NULL,NULL,2,Drowning,Off the coast of Libya,"Reuters, AFP","33.416533100000, 16.230191400000",Central Mediterranean,Uncategorized,3
North Africa,31-Jul-16,2016,Jul,1,NULL,1,NULL,NULL,NULL,NULL,Vehicle Accident,"Sahara Desert, between Agadez, Niger and Tripoli, Libya",MHub,"21.397223767726, 10.630494125000",NULL,Northern Africa,2
